Frecuencia_Hz,Amplitud
2.5,0.400
5.0,0.400
7.5,0.400
10.0,0.400
12.5,0.400
15.0,0.400
17.5,0.400
20.0,0.400
22.5,0.400
25.0,0.400
27.5,0.400
30.0,0.400
32.5,0.400
35.0,0.400
37.5,0.400
40.0,0.400
42.5,0.400
45.0,0.400
47.5,0.400
50.0,0.400
52.5,0.400
55.0,0.400
57.5,0.400
60.0,0.400
62.5,0.400
65.0,0.400
67.5,0.400
70.0,0.400
72.5,0.400
75.0,0.400
77.5,0.400
80.0,0.400
82.5,0.400
85.0,0.400
87.5,0.400
90.0,0.400
92.5,0.400
95.0,0.400
97.5,0.400
100.0,0.400
102.5,0.400
105.0,0.400
107.5,2.500
110.0,0.400
112.5,0.400
115.0,0.400
117.5,0.400
120.0,0.400
122.5,0.400
125.0,0.400
127.5,0.400
130.0,0.400
132.5,0.400
135.0,0.400
137.5,0.400
140.0,0.400
142.5,0.400
145.0,0.400
147.5,0.400
150.0,0.400
152.5,0.400
155.0,0.400
157.5,0.400
160.0,0.400
162.5,0.400
165.0,0.400
167.5,0.400
170.0,0.400
172.5,0.400
175.0,0.400
177.5,0.400
180.0,0.400
182.5,0.400
185.0,0.400
187.5,0.400
190.0,0.400
192.5,0.400
195.0,0.400
197.5,0.400
200.0,0.400
202.5,0.400
205.0,0.400
207.5,0.400
210.0,0.400
212.5,0.400
215.0,0.400
217.5,0.400
220.0,0.400
222.5,0.400
225.0,0.400
227.5,0.400
230.0,0.400
232.5,0.400
235.0,0.400
237.5,0.400
240.0,0.400
242.5,0.400
245.0,0.400
247.5,0.400
250.0,0.400
2.5,0.020
5.0,0.020
7.5,0.020
10.0,0.020
12.5,0.020
15.0,0.020
17.5,0.020
20.0,0.020
22.5,0.020
25.0,0.020
27.5,0.020
30.0,0.020
32.5,0.020
35.0,0.020
37.5,0.020
40.0,0.020
42.5,0.020
45.0,0.020
47.5,0.020
50.0,0.020
52.5,0.020
55.0,0.020
57.5,0.020
60.0,0.020
62.5,0.020
65.0,0.020
67.5,0.020
70.0,0.020
72.5,0.020
75.0,0.020
77.5,0.020
80.0,0.020
82.5,0.020
85.0,0.020
87.5,0.020
90.0,0.020
92.5,0.020
95.0,0.020
97.5,0.020
100.0,0.020
102.5,0.020
105.0,0.020
107.5,0.020
110.0,0.020
112.5,0.020
115.0,0.020
117.5,0.020
120.0,0.020
122.5,0.020
125.0,0.020
127.5,0.020
130.0,0.020
132.5,0.020
135.0,0.020
137.5,0.020
140.0,0.020
142.5,0.020
145.0,0.020
147.5,0.020
150.0,0.020
152.5,0.020
155.0,0.020
157.5,0.020
160.0,0.020
162.5,0.020
165.0,0.020
167.5,0.020
170.0,0.020
172.5,0.020
175.0,0.020
177.5,0.020
180.0,0.020
182.5,0.020
185.0,0.020
187.5,0.020
190.0,0.020
192.5,0.020
195.0,0.020
197.5,0.020
200.0,0.020
202.5,0.020
205.0,0.020
207.5,0.020
210.0,0.020
212.5,0.020
215.0,0.020
217.5,0.020
220.0,0.020
222.5,0.020
225.0,0.020
227.5,0.020
230.0,0.020
232.5,0.020
235.0,0.020
237.5,0.020
240.0,0.020
242.5,0.020
245.0,0.020
247.5,0.020
250.0,0.020
